worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust
6579519,female,30-49,democrat,clinton,OH,the Associated Press,cruz,7.9,0,1,1.0
6579519,female,30-49,democrat,clinton,OH,the Associated Press,trump,5.8,0,1,1.0
6579519,female,30-49,democrat,clinton,OH,the Associated Press,clinton,14.2,1,1,1.0
33018272,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,1.0
33018272,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,1.0
33018272,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,0,1.0
33018272,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,1.0
33018272,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,1,1.0
33018272,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,1,1.0
33018272,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,1.0
33018272,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,0,1.0
30321275,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,2.0
30321275,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,2.0
30321275,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,1,2.0
30321275,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,2,1.0
30321275,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,1,2.0
30321275,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,1,2.0
30321275,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,1,1.0
30321275,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1.0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,cruz,11.8,1,1,2.0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,sanders,14.1,1,0,2.0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,sanders,8.0,0,0,0.0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,clinton,7.5,0,1,2.0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,trump,11.7,1,1,2.0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,cruz,7.9,0,1,0.0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,trump,5.8,0,1,2.0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,clinton,14.2,1,1,0.0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,cruz,11.8,1,1,1.0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,sanders,14.1,1,2,2.0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,sanders,8.0,0,1,1.0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,clinton,7.5,0,1,1.0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,trump,11.7,1,1,1.0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,cruz,7.9,0,1,1.0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,trump,5.8,0,1,2.0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,clinton,14.2,1,1,2.0
25501853,female,30-49,republican,trump,KY,the Associated Press,cruz,11.8,1,1,2.0
25501853,female,30-49,republican,trump,KY,the Associated Press,sanders,14.1,1,1,2.0
25501853,female,30-49,republican,trump,KY,the Associated Press,sanders,8.0,0,0,0.0
25501853,female,30-49,republican,trump,KY,the Associated Press,clinton,7.5,0,2,1.0
25501853,female,30-49,republican,trump,KY,the Associated Press,trump,11.7,1,-1,1.0
25501853,female,30-49,republican,trump,KY,the Associated Press,cruz,7.9,0,0,1.0
25501853,female,30-49,republican,trump,KY,the Associated Press,trump,5.8,0,1,2.0
25501853,female,30-49,republican,trump,KY,the Associated Press,clinton,14.2,1,2,1.0
31471893,male,18-29,democrat,sanders,NY,the Associated Press,cruz,11.8,1,0,0.0
31471893,male,18-29,democrat,sanders,NY,the Associated Press,sanders,14.1,1,1,1.0
31471893,male,18-29,democrat,sanders,NY,the Associated Press,sanders,8.0,0,2,2.0
31471893,male,18-29,democrat,sanders,NY,the Associated Press,clinton,7.5,0,1,1.0
31471893,male,18-29,democrat,sanders,NY,the Associated Press,trump,11.7,1,-1,0.0
31471893,male,18-29,democrat,sanders,NY,the Associated Press,cruz,7.9,0,0,0.0
31471893,male,18-29,democrat,sanders,NY,the Associated Press,trump,5.8,0,0,0.0
31471893,male,18-29,democrat,sanders,NY,the Associated Press,clinton,14.2,1,1,1.0
33866252,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,0,-1.0
33866252,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,2.0
33866252,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,2,2.0
33866252,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,1.0
33866252,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,-1,-1.0
33866252,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,0,0.0
33866252,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,-1.0
33866252,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1.0
36660151,female,30-49,no_affiliation,other,CA,the Associated Press,cruz,11.8,1,0,2.0
36660151,female,30-49,no_affiliation,other,CA,the Associated Press,sanders,14.1,1,2,2.0
36660151,female,30-49,no_affiliation,other,CA,the Associated Press,sanders,8.0,0,2,1.0
36660151,female,30-49,no_affiliation,other,CA,the Associated Press,clinton,7.5,0,-1,1.0
36660151,female,30-49,no_affiliation,other,CA,the Associated Press,trump,11.7,1,1,1.0
36660151,female,30-49,no_affiliation,other,CA,the Associated Press,cruz,7.9,0,2,1.0
36660151,female,30-49,no_affiliation,other,CA,the Associated Press,trump,5.8,0,2,0.0
36660151,female,30-49,no_affiliation,other,CA,the Associated Press,clinton,14.2,1,2,1.0
36761089,female,18-29,democrat,clinton,TX,CNN,cruz,11.8,1,1,2.0
36761089,female,18-29,democrat,clinton,TX,CNN,sanders,14.1,1,1,2.0
36761089,female,18-29,democrat,clinton,TX,CNN,sanders,8.0,0,-1,2.0
