,worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust,match
360,6340330,female,50-64,democrat,trump,NY,CNN,cruz,11.8,1,0,1.0,1
361,6340330,female,50-64,democrat,trump,NY,CNN,sanders,14.1,1,1,1.0,1
362,6340330,female,50-64,democrat,trump,NY,CNN,sanders,8.0,0,0,1.0,1
363,6340330,female,50-64,democrat,trump,NY,CNN,clinton,7.5,0,1,1.0,1
364,6340330,female,50-64,democrat,trump,NY,CNN,trump,11.7,1,0,1.0,1
365,6340330,female,50-64,democrat,trump,NY,CNN,cruz,7.9,0,-1,0.0,1
366,6340330,female,50-64,democrat,trump,NY,CNN,trump,5.8,0,1,1.0,1
367,6340330,female,50-64,democrat,trump,NY,CNN,clinton,14.2,1,1,1.0,1
376,32953604,female,30-49,democrat,clinton,NY,CNN,cruz,11.8,1,1,1.0,1
377,32953604,female,30-49,democrat,clinton,NY,CNN,sanders,14.1,1,1,1.0,1
378,32953604,female,30-49,democrat,clinton,NY,CNN,sanders,8.0,0,1,1.0,1
379,32953604,female,30-49,democrat,clinton,NY,CNN,clinton,7.5,0,1,1.0,1
380,32953604,female,30-49,democrat,clinton,NY,CNN,trump,11.7,1,1,1.0,1
381,32953604,female,30-49,democrat,clinton,NY,CNN,cruz,7.9,0,1,1.0,1
382,32953604,female,30-49,democrat,clinton,NY,CNN,trump,5.8,0,1,1.0,1
383,32953604,female,30-49,democrat,clinton,NY,CNN,clinton,14.2,1,1,1.0,1
424,31680072,female,18-29,democrat,sanders,CA,Fox News,cruz,11.8,1,0,0.0,0
425,31680072,female,18-29,democrat,sanders,CA,Fox News,sanders,14.1,1,0,0.0,0
426,31680072,female,18-29,democrat,sanders,CA,Fox News,sanders,8.0,0,0,-1.0,0
427,31680072,female,18-29,democrat,sanders,CA,Fox News,clinton,7.5,0,0,0.0,0
428,31680072,female,18-29,democrat,sanders,CA,Fox News,trump,11.7,1,0,0.0,0
429,31680072,female,18-29,democrat,sanders,CA,Fox News,cruz,7.9,0,0,0.0,0
430,31680072,female,18-29,democrat,sanders,CA,Fox News,trump,5.8,0,0,-1.0,0
431,31680072,female,18-29,democrat,sanders,CA,Fox News,clinton,14.2,1,0,0.0,0
432,20512953,female,30-49,democrat,clinton,CA,Fox News,cruz,11.8,1,1,1.0,0
433,20512953,female,30-49,democrat,clinton,CA,Fox News,sanders,14.1,1,0,1.0,0
434,20512953,female,30-49,democrat,clinton,CA,Fox News,sanders,8.0,0,1,1.0,0
